subject_id,split
P043,test
P063,test
P003,test
P032,test
P004,test
P057,test
P053,test
P049,test
P037,test
P060,test
P013,test
P035,val
P026,val
P073,val
P031,val
P009,val
P058,val
P018,val
P042,val
P071,val
P052,val
P027,train
P067,train
P066,train
P016,train
P061,train
P007,train
P023,train
P072,train
P005,train
P046,train
P017,train
P011,train
P040,train
P008,train
P048,train
P006,train
P051,train
P038,train
P062,train
P047,train
P068,train
P020,train
P012,train
P021,train
P044,train
P050,train
P039,train
P014,train
P001,train
P065,train
P041,train
P045,train
P056,train
